timestamp,p_w_b_x,p_w_b_y,p_w_b_z,q_w_b_x,q_w_b_y,q_w_b_z,q_w_b_w
1632435295020073891,0.000000,0.000000,0.000000,-0.002183,-0.001616,-0.000004,0.999996
1632435295221792936,0.586982,-0.250865,0.162154,0.000103,0.005534,0.019891,0.999787
1632435295423512936,0.592257,-0.248763,0.166132,0.000446,0.005798,0.020329,0.999776
1632435295625232935,0.592185,-0.250239,0.161213,0.000980,0.005254,0.020357,0.999778
1632435295826952934,0.591502,-0.241165,0.148531,0.000649,0.004102,0.020399,0.999783
1632435296028685093,0.593493,-0.244610,0.156775,0.001640,0.005440,0.020356,0.999777
1632435296230405092,0.591137,-0.244907,0.153056,0.000347,0.003488,0.020175,0.999790
1632435296432125092,0.590871,-0.247197,0.165124,0.000505,0.005620,0.020228,0.999779
1632435296633845091,0.592369,-0.253642,0.165803,0.000792,0.005673,0.020136,0.999781
1632435296835565090,0.590268,-0.252614,0.159815,0.001019,0.004980,0.020100,0.999785
1632435297037297010,0.587441,-0.245508,0.151029,0.001300,0.004429,0.020313,0.999783
1632435297239017010,0.593384,-0.251225,0.163595,0.000340,0.005053,0.020321,0.999781
1632435297440737009,0.592988,-0.246792,0.145084,0.000574,0.003794,0.020394,0.999785
1632435297642457008,0.585731,-0.250598,0.171230,0.000120,0.006682,0.019867,0.999780
1632435297844177008,0.592246,-0.249811,0.160716,0.000890,0.005925,0.020571,0.999770
1632435298045908928,0.590140,-0.247910,0.172731,0.000448,0.005080,0.020348,0.999780
1632435298247628927,0.591264,-0.247877,0.167522,-0.000348,0.004765,0.020131,0.999786
1632435298449348927,0.593359,-0.244719,0.166663,0.000366,0.004517,0.020420,0.999781
1632435298651068926,0.595689,-0.244536,0.165550,-0.000248,0.005103,0.020278,0.999781
1632435298852788925,0.590882,-0.244740,0.161380,0.000793,0.005067,0.020151,0.999784
1632435299054521084,0.591007,-0.244208,0.153733,0.000869,0.004888,0.020130,0.999785
1632435299256241083,0.594078,-0.247584,0.152487,0.000954,0.004537,0.020325,0.999783
1632435299457961082,0.600914,-0.251128,0.155862,0.000418,0.004261,0.020952,0.999771
1632435299659681082,0.600587,-0.244803,0.139311,0.000961,0.002601,0.020940,0.999777
1632435299861401081,0.596690,-0.245105,0.147581,0.001622,0.005112,0.020530,0.999775
1632435300063133001,0.597979,-0.249432,0.152136,-0.000023,0.004230,0.020519,0.999781
1632435300264853001,0.599094,-0.244691,0.143389,0.000410,0.003240,0.020611,0.999782
1632435300466573000,0.596365,-0.246768,0.156920,0.000008,0.004380,0.020581,0.999779
1632435300668292999,0.600020,-0.243909,0.137486,0.000795,0.003324,0.020911,0.999775
1632435300870012045,0.598396,-0.245021,0.144285,-0.000005,0.003788,0.020798,0.999777
1632435301071743965,0.591171,-0.246649,0.144356,0.000167,0.003935,0.020354,0.999785
1632435301273463964,0.592967,-0.248208,0.151297,-0.000348,0.004771,0.020232,0.999784
1632435301475183964,0.588471,-0.247511,0.147880,0.000040,0.005646,0.019834,0.999787
1632435301676903963,0.592845,-0.251564,0.160442,-0.002475,0.004056,0.020238,0.999784
1632435301878623962,0.595976,-0.245633,0.149357,-0.001421,0.003510,0.020257,0.999788
1632435302080355883,0.593590,-0.246423,0.142743,-0.001538,0.003296,0.020102,0.999791
1632435302282075882,0.591369,-0.245792,0.155490,-0.001145,0.003991,0.019814,0.999795
1632435302483795881,0.599338,-0.247175,0.158730,-0.002561,0.004008,0.020032,0.999788
1632435302685516119,0.596411,-0.246076,0.157974,-0.002394,0.003130,0.020010,0.999792
1632435302887236118,0.600657,-0.239587,0.145273,-0.002925,0.002188,0.020275,0.999788
1632435303088968039,0.602824,-0.246145,0.154068,-0.004313,0.002718,0.020616,0.999774
1632435303290688038,0.590716,-0.246110,0.150978,-0.003176,0.002233,0.019979,0.999793
1632435303492408037,0.590564,-0.245434,0.165171,-0.002251,0.004041,0.020165,0.999786
1632435303694128036,0.588663,-0.247581,0.164403,-0.002939,0.003748,0.019856,0.999792
1632435303895848036,0.593108,-0.247211,0.161939,-0.003349,0.004155,0.020153,0.999783
1632435304097579956,0.585742,-0.246620,0.163347,-0.001748,0.004705,0.019655,0.999794
1632435304299299955,0.591231,-0.251269,0.163608,-0.003346,0.002856,0.020322,0.999784
1632435304501019955,0.590377,-0.246760,0.172826,-0.003327,0.003638,0.020258,0.999783
1632435304702739954,0.598635,-0.237133,0.164118,-0.003131,0.003501,0.020874,0.999771
1632435304904459953,0.589315,-0.241229,0.172759,-0.003938,0.003763,0.020105,0.999783
