timestamp,p_w_b_x,p_w_b_y,p_w_b_z,q_w_b_x,q_w_b_y,q_w_b_z,q_w_b_w
1681498134611227989,0.000000,0.000000,0.000000,0.002133,-0.004079,0.000009,0.999989
1681498134812947989,-0.036663,0.000152,0.052134,0.003897,-0.007741,-0.006985,0.999938
1681498135014615059,-0.030301,-0.008064,0.054749,0.006429,-0.007647,-0.010760,0.999892
1681498135216335058,-0.026301,-0.013135,0.054222,0.008283,-0.005718,-0.010838,0.999891
1681498135418055058,-0.017006,-0.009312,0.055531,0.008903,-0.003119,-0.011335,0.999891
1681498135619774103,-0.016734,-0.010834,0.052892,0.008826,-0.000804,-0.012081,0.999888
1681498135821494102,-0.010607,-0.008693,0.051716,0.008951,0.001632,-0.011667,0.999891
1681498136023161888,-0.002901,-0.009978,0.051340,0.008059,0.004123,-0.009515,0.999914
1681498136224881887,0.001243,-0.002467,0.049677,0.005828,0.007189,-0.009592,0.999911
1681498136426601887,0.002708,-0.001395,0.051073,0.004019,0.009845,-0.009941,0.999894
1681498136628320932,0.008873,-0.006847,0.051148,0.006433,0.011947,-0.009291,0.999865
1681498136830040932,0.007480,-0.014214,0.051708,0.010866,0.011393,-0.010003,0.999826
1681498137031708002,-0.002067,-0.024368,0.052254,0.014435,0.007339,-0.014007,0.999771
1681498137233428001,-0.014517,-0.030001,0.051453,0.017528,0.001438,-0.020779,0.999629
1681498137435148001,-0.021962,-0.030136,0.050285,0.016847,-0.002361,-0.019945,0.999656
1681498137636867046,-0.025209,-0.024311,0.050981,0.014766,-0.003608,-0.021966,0.999643
1681498137838587046,-0.019656,-0.023048,0.052362,0.014874,-0.003160,-0.023804,0.999601
1681498138040254116,-0.024239,-0.026022,0.047062,0.016708,-0.003090,-0.027452,0.999479
1681498138241974115,-0.020983,-0.030219,0.047536,0.018022,-0.002877,-0.028146,0.999437
1681498138443694115,-0.013075,-0.028601,0.047440,0.018420,0.000240,-0.030575,0.999363
1681498138645412922,0.008997,-0.019678,0.058760,0.016524,0.007085,-0.031214,0.999351
