timestamp,p_w_b_x,p_w_b_y,p_w_b_z,q_w_b_x,q_w_b_y,q_w_b_z,q_w_b_w
1582405176143162966,0.000000,0.000000,0.000000,-0.000026,-0.000446,-0.000000,1.000000
1582405176344882965,-0.004914,0.010602,0.147913,-0.000154,0.008789,-0.002721,0.999958
1582405176546602964,-0.014408,0.015551,0.182326,0.003254,0.012057,-0.003060,0.999917
1582405176748322964,-0.009074,0.011919,0.157457,0.000281,0.009385,-0.002415,0.999953
1582405176950042963,-0.016973,0.013987,0.185902,0.003725,0.012679,-0.002833,0.999909
1582405177151777983,-0.006248,0.009098,0.146413,-0.001564,0.008240,-0.002631,0.999961
1582405177353497982,-0.008560,0.011594,0.153880,0.000220,0.009597,-0.002775,0.999950
1582405177555217981,-0.002794,0.009688,0.138806,-0.002593,0.006961,-0.002616,0.999969
1582405177756937981,-0.002203,0.006752,0.134907,-0.002647,0.006674,-0.002808,0.999970
1582405177958657980,-0.001258,0.007985,0.139581,-0.002466,0.006968,-0.002873,0.999969
1582405178160393953,0.000963,0.007805,0.126815,-0.004606,0.005120,-0.002455,0.999973
1582405178362113953,-0.000585,0.008775,0.130597,-0.003620,0.005867,-0.002377,0.999973
1582405178563833952,-0.009513,0.009206,0.151621,-0.000272,0.009193,-0.002941,0.999953
1582405178765553951,-0.005139,0.011292,0.146451,-0.000675,0.008410,-0.002792,0.999961
1582405178967273951,-0.011279,0.011856,0.167032,0.001871,0.010621,-0.002812,0.999938
1582405179169009924,-0.006323,0.010669,0.154985,-0.000881,0.008749,-0.002518,0.999958
1582405179370729923,0.000374,0.005739,0.124722,-0.004657,0.004797,-0.002469,0.999975
1582405179572449923,-0.004947,0.013365,0.147303,0.000177,0.008533,-0.002579,0.999960
1582405179774169922,-0.004507,0.008250,0.139856,-0.002480,0.007188,-0.002538,0.999968
1582405179975889921,-0.003396,0.010040,0.140123,-0.001866,0.007298,-0.002551,0.999968
1582405180177625895,-0.005844,0.009870,0.151481,-0.000733,0.008742,-0.002593,0.999958
1582405180379345894,-0.009059,0.011579,0.150820,-0.000670,0.009006,-0.002619,0.999956
1582405180581065893,-0.009773,0.012024,0.167894,0.001123,0.010265,-0.002868,0.999943
1582405180782785892,-0.001229,0.006718,0.140169,-0.002572,0.006767,-0.002646,0.999970
1582405180984505892,-0.008632,0.011576,0.162928,0.001319,0.010177,-0.002967,0.999943
1582405181186240911,-0.008049,0.011567,0.163906,0.000541,0.009864,-0.002624,0.999948
1582405181387960911,-0.010503,0.011989,0.164209,0.000643,0.010272,-0.002688,0.999943
1582405181589680910,-0.009547,0.014391,0.161490,0.000964,0.009692,-0.002490,0.999949
1582405181791400909,-0.010948,0.010756,0.163116,0.001617,0.010478,-0.002789,0.999940
1582405181993119955,-0.015139,0.015857,0.170443,0.003392,0.011463,-0.002879,0.999924
1582405182194855928,-0.006738,0.007301,0.152494,-0.000177,0.009261,-0.002810,0.999953
1582405182396575928,0.000472,0.008920,0.129317,-0.004032,0.006050,-0.002251,0.999971
1582405182598295927,-0.004708,0.011516,0.136627,-0.001513,0.007759,-0.002658,0.999965
1582405182800015926,-0.007884,0.011706,0.150726,-0.000444,0.009092,-0.002561,0.999955
1582405183001751900,-0.011190,0.009923,0.164378,0.000393,0.010339,-0.002857,0.999942
1582405183203471899,-0.008874,0.012320,0.157446,0.000614,0.009936,-0.002354,0.999948
1582405183405191898,-0.009837,0.008946,0.151361,-0.000002,0.009258,-0.002731,0.999953
1582405183606911898,-0.006741,0.009387,0.151845,-0.000148,0.009071,-0.002877,0.999955
1582405183808631897,-0.009312,0.010878,0.155096,-0.000153,0.009605,-0.002640,0.999950
1582405184010368109,-0.008150,0.010754,0.152764,0.000196,0.009187,-0.002672,0.999954
1582405184212088108,-0.006075,0.009244,0.149189,-0.000560,0.008629,-0.002949,0.999958
1582405184413808107,-0.000299,0.002386,0.130609,-0.003941,0.006017,-0.002856,0.999970
1582405184615528107,-0.005581,0.007522,0.136875,-0.002072,0.007357,-0.002749,0.999967
1582405184817248106,-0.009944,0.014267,0.164667,0.001340,0.010431,-0.002841,0.999941
1582405185018982887,-0.004825,0.007523,0.138425,-0.002246,0.007221,-0.002928,0.999967
1582405185220702887,0.002194,0.007770,0.125985,-0.004686,0.005206,-0.002282,0.999973
1582405185422422886,-0.014724,0.014498,0.175491,0.002616,0.011828,-0.002847,0.999923
1582405185624142885,-0.009059,0.010862,0.172694,0.001730,0.010737,-0.002917,0.999937
1582405185825862885,-0.013929,0.013429,0.166449,0.001619,0.010948,-0.002838,0.999935
