# timestamp x y z qx qy qz qw
1757512290.312459707 634439.671938 4188554.383062 779.895457 -0.006372 0.017967 0.284353 0.958530
1757512290.334437132 634439.672069 4188554.383071 779.895473 -0.006381 0.017980 0.284349 0.958531
1757512290.352510452 634439.672191 4188554.383093 779.895489 -0.006368 0.017968 0.284341 0.958534
1757512290.371703148 634439.672318 4188554.383118 779.895514 -0.006380 0.017985 0.284347 0.958531
1757512290.391601801 634439.672434 4188554.383144 779.895526 -0.006375 0.017967 0.284347 0.958532
1757512290.414784670 634439.672548 4188554.383158 779.895547 -0.006374 0.017975 0.284351 0.958531
1757512290.437928200 634439.672664 4188554.383180 779.895562 -0.006381 0.017968 0.284356 0.958529
1757512290.452620983 634439.672788 4188554.383200 779.895585 -0.006376 0.017975 0.284346 0.958532
1757512290.472399712 634439.672908 4188554.383222 779.895614 -0.006380 0.017979 0.284347 0.958532
1757512290.492467165 634439.673022 4188554.383241 779.895642 -0.006370 0.017967 0.284333 0.958536
1757512290.512531281 634439.673140 4188554.383278 779.895666 -0.006384 0.017978 0.284340 0.958534
1757512290.533440590 634439.673258 4188554.383311 779.895691 -0.006377 0.017963 0.284345 0.958533
1757512290.551712990 634439.673384 4188554.383334 779.895708 -0.006391 0.017978 0.284350 0.958531
1757512290.571460009 634439.673504 4188554.383348 779.895732 -0.006377 0.017964 0.284351 0.958531
1757512290.593102217 634439.673642 4188554.383375 779.895757 -0.006388 0.017977 0.284343 0.958533
1757512290.612680674 634439.673776 4188554.383399 779.895788 -0.006382 0.017977 0.284342 0.958533
1757512290.637637854 634439.673911 4188554.383411 779.895808 -0.006378 0.017975 0.284334 0.958536
1757512290.652314901 634439.674031 4188554.383439 779.895837 -0.006381 0.017976 0.284341 0.958533
1757512290.671480656 634439.674163 4188554.383468 779.895859 -0.006376 0.017971 0.284344 0.958533
1757512290.691587925 634439.674291 4188554.383495 779.895885 -0.006384 0.017977 0.284351 0.958530
1757512290.711867094 634439.674423 4188554.383507 779.895913 -0.006381 0.017975 0.284348 0.958531
1757512290.740850925 634439.674551 4188554.383529 779.895935 -0.006381 0.017975 0.284340 0.958534
1757512290.752578974 634439.674690 4188554.383557 779.895974 -0.006380 0.017982 0.284337 0.958535
1757512290.772360086 634439.674827 4188554.383584 779.895994 -0.006372 0.017974 0.284334 0.958536
1757512290.793194532 634439.674952 4188554.383604 779.896027 -0.006379 0.017980 0.284344 0.958532
1757512290.812549829 634439.675077 4188554.383637 779.896058 -0.006376 0.017963 0.284348 0.958532
1757512290.837449789 634439.675202 4188554.383672 779.896095 -0.006384 0.017974 0.284350 0.958531
1757512290.851433992 634439.675337 4188554.383701 779.896128 -0.006394 0.017978 0.284348 0.958531
1757512290.871469259 634439.675459 4188554.383719 779.896164 -0.006375 0.017964 0.284336 0.958535
1757512290.892443657 634439.675593 4188554.383755 779.896192 -0.006392 0.017981 0.284336 0.958535
1757512290.912518740 634439.675725 4188554.383791 779.896219 -0.006371 0.017960 0.284335 0.958536
1757512290.935430765 634439.675861 4188554.383815 779.896237 -0.006391 0.017976 0.284344 0.958533
1757512290.952366829 634439.675984 4188554.383840 779.896264 -0.006377 0.017962 0.284344 0.958533
1757512290.972418785 634439.676123 4188554.383871 779.896298 -0.006383 0.017972 0.284343 0.958533
1757512290.993456841 634439.676262 4188554.383901 779.896330 -0.006388 0.017971 0.284340 0.958534
1757512291.011676550 634439.676405 4188554.383914 779.896361 -0.006378 0.017972 0.284330 0.958537
1757512291.037761927 634439.676539 4188554.383934 779.896391 -0.006381 0.017971 0.284338 0.958534
1757512291.052750349 634439.676680 4188554.383956 779.896420 -0.006369 0.017967 0.284338 0.958534
1757512291.072627306 634439.676821 4188554.383982 779.896450 -0.006378 0.017974 0.284349 0.958531
1757512291.092661619 634439.676955 4188554.383998 779.896481 -0.006370 0.017966 0.284345 0.958532
1757512291.112797737 634439.677086 4188554.384031 779.896517 -0.006378 0.017975 0.284343 0.958533
1757512291.136694908 634439.677220 4188554.384067 779.896559 -0.006376 0.017970 0.284338 0.958534
1757512291.151640177 634439.677361 4188554.384100 779.896582 -0.006379 0.017974 0.284329 0.958537
1757512291.171754837 634439.677484 4188554.384122 779.896612 -0.006380 0.017965 0.284336 0.958535
1757512291.192341328 634439.677621 4188554.384151 779.896630 -0.006376 0.017959 0.284339 0.958534
1757512291.212367535 634439.677752 4188554.384187 779.896661 -0.006377 0.017967 0.284347 0.958532
1757512291.275853634 634439.677895 4188554.384214 779.896683 -0.006380 0.017968 0.284343 0.958533
1757512291.284497499 634439.678016 4188554.384240 779.896705 -0.006377 0.017966 0.284338 0.958535
