# timestamp x y z qx qy qz qw
1766147816.483435631 208239.947048 2503040.581508 32.031639 0.025245 0.059031 -0.309312 0.948791
1766147816.503335714 208239.947794 2503040.581475 32.032542 0.025219 0.059026 -0.309317 0.948790
1766147816.524361849 208239.948545 2503040.581443 32.033469 0.025249 0.059040 -0.309314 0.948789
1766147816.543243647 208239.949297 2503040.581399 32.034391 0.025230 0.059017 -0.309318 0.948790
1766147816.568159342 208239.950051 2503040.581360 32.035291 0.025237 0.059043 -0.309317 0.948789
1766147816.583070517 208239.950813 2503040.581307 32.036230 0.025237 0.059027 -0.309318 0.948790
1766147816.603354931 208239.951567 2503040.581265 32.037129 0.025228 0.059034 -0.309318 0.948789
1766147816.623114586 208239.952325 2503040.581210 32.038069 0.025247 0.059040 -0.309316 0.948789
1766147816.643231392 208239.953085 2503040.581168 32.038963 0.025221 0.059027 -0.309319 0.948790
1766147816.664714575 208239.953841 2503040.581114 32.039888 0.025249 0.059049 -0.309313 0.948789
1766147816.683255434 208239.954597 2503040.581055 32.040788 0.025227 0.059027 -0.309312 0.948792
1766147816.703409672 208239.955338 2503040.581000 32.041687 0.025247 0.059046 -0.309311 0.948790
1766147816.723442793 208239.956100 2503040.580945 32.042608 0.025241 0.059042 -0.309313 0.948790
1766147816.743202209 208239.956840 2503040.580901 32.043499 0.025239 0.059039 -0.309318 0.948789
1766147816.803733587 208239.957595 2503040.580847 32.044438 0.025252 0.059048 -0.309316 0.948788
1766147816.811857939 208239.958340 2503040.580805 32.045341 0.025230 0.059026 -0.309320 0.948789
1766147816.817456961 208239.959082 2503040.580737 32.046158 0.025248 0.059058 -0.309320 0.948787
1766147816.823304415 208239.959786 2503040.580654 32.046858 0.025229 0.059028 -0.309316 0.948790
1766147816.843330145 208239.960483 2503040.580558 32.047540 0.025240 0.059050 -0.309320 0.948787
1766147816.868003130 208239.961202 2503040.580467 32.048255 0.025238 0.059032 -0.309317 0.948789
1766147816.883337498 208239.961907 2503040.580365 32.048941 0.025231 0.059038 -0.309321 0.948788
1766147816.903564453 208239.962624 2503040.580272 32.049655 0.025252 0.059045 -0.309317 0.948788
1766147816.923061132 208239.963328 2503040.580172 32.050352 0.025233 0.059024 -0.309319 0.948789
1766147816.944911480 208239.964054 2503040.580079 32.051047 0.025247 0.059053 -0.309313 0.948789
1766147816.970639467 208239.964778 2503040.579981 32.051761 0.025234 0.059029 -0.309314 0.948790
1766147816.983234644 208239.965494 2503040.579886 32.052445 0.025230 0.059058 -0.309316 0.948788
1766147817.003468037 208239.966216 2503040.579786 32.053178 0.025242 0.059040 -0.309318 0.948788
1766147817.023291111 208239.966941 2503040.579690 32.053864 0.025223 0.059048 -0.309321 0.948788
1766147817.043589354 208239.967665 2503040.579595 32.054594 0.025257 0.059049 -0.309319 0.948787
1766147817.064274549 208239.968380 2503040.579502 32.055288 0.025230 0.059033 -0.309318 0.948789
1766147817.083269835 208239.969096 2503040.579423 32.055988 0.025244 0.059056 -0.309314 0.948789
1766147817.103167772 208239.969825 2503040.579336 32.056697 0.025224 0.059038 -0.309313 0.948791
1766147817.123572826 208239.970543 2503040.579259 32.057376 0.025227 0.059057 -0.309313 0.948789
1766147817.143590689 208239.971259 2503040.579161 32.058105 0.025230 0.059046 -0.309317 0.948789
1766147817.168087959 208239.971965 2503040.579074 32.058779 0.025212 0.059044 -0.309320 0.948788
1766147817.183394194 208239.972684 2503040.578963 32.059502 0.025246 0.059054 -0.309316 0.948788
1766147817.203222513 208239.973385 2503040.578859 32.060179 0.025221 0.059034 -0.309318 0.948789
1766147817.223023415 208239.974086 2503040.578751 32.060881 0.025240 0.059060 -0.309319 0.948787
1766147817.243134737 208239.974804 2503040.578647 32.061586 0.025227 0.059034 -0.309318 0.948789
1766147817.271272659 208239.975512 2503040.578540 32.062265 0.025231 0.059056 -0.309320 0.948787
1766147817.283329725 208239.976233 2503040.578414 32.062979 0.025237 0.059047 -0.309319 0.948788
1766147817.303427696 208239.976927 2503040.578302 32.063663 0.025228 0.059034 -0.309323 0.948788
1766147817.323504925 208239.977646 2503040.578173 32.064365 0.025255 0.059055 -0.309317 0.948788
1766147817.343205929 208239.978364 2503040.578055 32.065062 0.025239 0.059024 -0.309317 0.948790
1766147817.371307135 208239.979075 2503040.577932 32.065753 0.025256 0.059060 -0.309315 0.948788
1766147817.383344412 208239.979799 2503040.577836 32.066466 0.025239 0.059035 -0.309317 0.948789
1766147817.403018236 208239.980524 2503040.577734 32.067149 0.025234 0.059059 -0.309318 0.948787
1766147817.423223972 208239.981256 2503040.577631 32.067871 0.025249 0.059050 -0.309315 0.948789
1766147817.443413973 208239.981963 2503040.577522 32.068571 0.025234 0.059040 -0.309320 0.948788
1766147817.464318752 208239.982674 2503040.577423 32.069273 0.025250 0.059061 -0.309317 0.948787
1766147817.483217239 208239.983383 2503040.577310 32.069969 0.025237 0.059034 -0.309319 0.948789
1766147817.503201485 208239.984099 2503040.577202 32.070655 0.025247 0.059060 -0.309317 0.948787
1766147817.523449421 208239.984808 2503040.577093 32.071391 0.025247 0.059031 -0.309320 0.948788
1766147817.543067932 208239.985518 2503040.577005 32.072075 0.025231 0.059049 -0.309323 0.948787
1766147817.568313122 208239.986246 2503040.576896 32.072806 0.025245 0.059045 -0.309320 0.948787
1766147817.583439827 208239.986959 2503040.576781 32.073481 0.025217 0.059040 -0.309318 0.948789
1766147817.603662252 208239.987671 2503040.576661 32.074193 0.025253 0.059054 -0.309317 0.948788
1766147817.623337507 208239.988395 2503040.576540 32.074893 0.025231 0.059032 -0.309318 0.948789
1766147817.643579245 208239.989122 2503040.576424 32.075591 0.025250 0.059058 -0.309322 0.948786
1766147817.668226480 208239.989854 2503040.576306 32.076316 0.025240 0.059051 -0.309320 0.948787
1766147817.683242321 208239.990579 2503040.576206 32.077014 0.025234 0.059047 -0.309324 0.948786
1766147817.703297377 208239.991318 2503040.576096 32.077751 0.025247 0.059060 -0.309322 0.948786
1766147817.723799467 208239.992042 2503040.575990 32.078440 0.025215 0.059045 -0.309323 0.948787
1766147817.743471146 208239.992757 2503040.575863 32.079162 0.025242 0.059069 -0.309323 0.948785
1766147817.800543070 208239.993471 2503040.575754 32.079868 0.025225 0.059040 -0.309325 0.948787
1766147817.810695171 208239.994182 2503040.575630 32.080569 0.025239 0.059067 -0.309326 0.948784
1766147817.814265251 208239.994817 2503040.575535 32.081162 0.025236 0.059049 -0.309326 0.948785
1766147817.823095798 208239.995407 2503040.575440 32.081723 0.025233 0.059053 -0.309328 0.948785
1766147817.843125820 208239.996022 2503040.575347 32.082317 0.025245 0.059057 -0.309325 0.948785
1766147817.864748955 208239.996621 2503040.575248 32.082876 0.025226 0.059037 -0.309325 0.948787
1766147817.883219004 208239.997230 2503040.575137 32.083447 0.025246 0.059071 -0.309324 0.948784
1766147817.903402090 208239.997829 2503040.575028 32.084021 0.025243 0.059031 -0.309327 0.948786
1766147817.923365355 208239.998441 2503040.574922 32.084590 0.025251 0.059060 -0.309326 0.948784
1766147817.943603277 208239.999064 2503040.574819 32.085185 0.025260 0.059042 -0.309326 0.948785
1766147817.970584631 208239.999678 2503040.574713 32.085733 0.025245 0.059057 -0.309327 0.948784
1766147817.983197451 208240.000304 2503040.574618 32.086337 0.025267 0.059054 -0.309327 0.948784
1766147818.003330708 208240.000925 2503040.574522 32.086906 0.025243 0.059039 -0.309328 0.948785
1766147818.023315907 208240.001563 2503040.574432 32.087485 0.025253 0.059073 -0.309324 0.948784
1766147818.043311834 208240.002187 2503040.574335 32.088083 0.025242 0.059046 -0.309330 0.948784
1766147818.064303160 208240.002808 2503040.574255 32.088650 0.025242 0.059063 -0.309332 0.948783
1766147818.083290815 208240.003433 2503040.574164 32.089263 0.025253 0.059055 -0.309328 0.948784
1766147818.103288889 208240.004056 2503040.574077 32.089820 0.025230 0.059056 -0.309328 0.948784
